CustomerID,LocationID,Gender,Age,Married,NumberOfDependents,NumberOfReferrals
2189-WWOEW,918,Female,37,No,0,0
2190-BCXEC,170,Female,61,Yes,0,10
2190-PHBHR,1010,Female,22,Yes,0,5
2192-CKRLV,389,Female,57,Yes,0,2
2192-OZITF,1011,Female,60,No,0,0
2193-SFWQW,1012,Male,47,Yes,1,9
2194-IIQOF,901,Female,38,Yes,0,7
2195-VVRJF,941,Male,74,Yes,0,6
2195-ZRVAX,668,Female,40,Yes,0,1
2197-OMWGI,1013,Female,65,Yes,1,4
2200-DSAAL,686,Female,52,No,0,0
2202-CUYXZ,1014,Male,25,No,0,0
2202-OUTMO,1015,Female,59,Yes,0,5
2203-GHNWN,931,Female,24,Yes,0,2
2205-LPVGL,224,Male,71,Yes,1,1
2205-YMZZJ,1016,Male,75,No,0,0
2207-NHRJK,922,Male,58,No,0,0
2207-OBZNX,395,Male,56,No,0,0
2207-QPJED,684,Female,66,Yes,0,8
2207-RYYRL,1017,Male,34,Yes,1,6
2208-MPXIO,565,Female,42,Yes,2,9
2208-NKVVH,1018,Male,60,Yes,2,4
2208-NQBCT,1019,Female,23,Yes,3,10
2208-UGTGR,312,Male,62,No,0,0
2209-XADXF,1020,Female,40,No,0,0
2211-RMNHO,1021,Female,36,Yes,2,1
2212-LYASK,1022,Male,25,Yes,0,3
2215-ZAFGX,14,Male,35,No,0,0
2219-MVUSO,591,Male,59,No,0,0
2220-IAHLS,1023,Female,49,No,0,0
2223-GDSHL,1024,Male,41,Yes,1,5
2223-KAGMX,1025,Female,47,No,0,0
2225-ZRGSG,1026,Female,38,Yes,0,1
2226-ICFDO,1027,Female,39,Yes,0,9
2227-JRSJX,927,Female,22,No,0,0
2228-BZDEE,1028,Female,45,No,0,0
2229-DPMBI,1029,Female,19,Yes,2,10
2229-VWQJH,1030,Female,34,No,0,0
2230-XTUWL,430,Female,20,Yes,2,3
2232-DMLXU,1031,Female,22,Yes,0,0
2233-FAGXV,1032,Female,41,Yes,3,6
2233-TXSIU,1017,Male,20,Yes,2,1
2234-EOFPT,541,Male,48,Yes,0,2
2234-XADUH,1033,Female,30,Yes,2,4
2235-DWLJU,554,Female,75,No,0,0
2235-EZAIK,169,Female,21,Yes,0,9
2235-ZGKPT,65,Female,36,Yes,1,1
2236-HILPA,586,Male,55,Yes,2,9
2237-ZFSMY,172,Female,29,No,0,0
2239-CFOUJ,504,Male,27,Yes,2,3
2239-CGBUZ,810,Female,56,Yes,0,4
2239-JALAW,124,Male,20,No,0,0
2240-HSJQD,14,Male,44,No,2,0
2242-MFOTG,302,Male,29,No,0,0
2243-FNMMI,657,Male,20,No,0,0
2245-ADZFJ,1034,Female,58,Yes,0,9
2249-YPRNG,935,Female,57,Yes,0,3
2250-IVBWA,265,Male,47,Yes,2,4
2251-PYLPB,458,Male,34,Yes,0,3
2252-ISRNH,1027,Male,22,Yes,3,9
2252-JHJGE,324,Male,24,No,0,0
2252-NKNSI,1035,Male,63,No,0,0
2253-KPMNB,1036,Female,29,Yes,2,10
2254-DLXRI,578,Female,33,No,0,0
2256-YLYLP,225,Male,45,Yes,1,4
2257-BOVXD,1037,Male,48,Yes,0,3
2259-OUUSZ,700,Male,28,No,0,0
2260-USTRB,1038,Female,75,No,0,0
2262-SLNVK,1039,Female,53,No,0,0
2263-SFSQZ,1019,Male,46,Yes,2,7
2265-CYWIV,826,Female,68,Yes,0,1
2266-FUBDZ,1040,Male,19,Yes,3,2
2266-SJNAT,88,Female,21,Yes,0,2
2267-FPIMA,1041,Male,27,Yes,0,1
2267-WTPYD,1042,Female,77,Yes,0,1
2270-CHBFN,1043,Female,46,Yes,0,10
2272-JKMSI,1044,Female,42,Yes,3,5
2272-QAGFO,1045,Female,75,No,0,0
2272-UOINI,398,Female,44,No,0,0
2272-WUSPA,202,Female,48,Yes,0,1
2273-QCKXA,760,Male,39,No,0,0
2274-XUATA,1046,Male,78,Yes,0,8
2275-RBYQS,1047,Female,38,No,0,0
2276-YDAVZ,41,Female,63,No,0,0
2277-AXSDC,936,Female,46,No,0,0
2277-BKJKN,1048,Female,70,Yes,0,6
2277-DJJDL,699,Male,69,Yes,0,5
2277-VWCNI,653,Female,65,No,0,0
2279-AXJJK,850,Male,27,Yes,0,1
2282-YGNOR,927,Female,42,No,0,0
2284-VFLKH,1049,Male,23,Yes,0,4
2292-XQWSV,1050,Male,19,Yes,2,3
2293-IJWPS,910,Female,39,Yes,0,5
2294-DMMUS,1051,Female,25,Yes,3,9
2294-SALNE,1052,Male,51,Yes,0,2
2296-DKZFP,1053,Female,25,Yes,0,1
2300-RQGOI,998,Female,33,No,0,0
2302-ANTDP,1054,Female,76,Yes,0,9
2302-OUZXB,878,Male,62,Yes,0,5
2303-PJYHN,166,Female,27,Yes,0,8
2305-MRGLV,625,Male,31,Yes,0,10
2307-FYNNL,95,Male,67,No,0,0
2308-STERM,108,Female,58,No,0,0
2309-OSFEU,925,Male,42,No,0,0
2311-QYMUQ,673,Female,41,Yes,0,1
2314-TNDJQ,1055,Female,28,Yes,3,1
2316-ESMLS,1056,Female,54,Yes,0,7
2320-JRSDE,624,Female,33,Yes,1,1
2320-SLKMB,1057,Female,46,No,0,0
2320-TZRRH,1058,Female,38,No,0,0
2320-YKQBO,472,Female,51,No,0,0
2321-OMBXY,76,Female,55,Yes,0,1
2322-VCZHZ,48,Male,70,Yes,0,3
2323-ARSVR,427,Male,51,Yes,0,8
2324-AALNO,1059,Female,63,No,0,0
2324-EFHVG,1060,Male,37,No,0,0
2325-NBPZG,232,Female,20,No,0,0
2325-WINES,1061,Female,44,No,0,0
2325-ZUSFD,1062,Female,46,Yes,0,1
2330-PQGDQ,1063,Male,36,Yes,3,6
2332-EFBJY,216,Male,35,No,0,0
2332-TODQS,1064,Female,44,No,0,0
2333-KWEWW,1065,Male,64,No,0,0
2335-GSODA,1000,Male,36,No,3,0
2338-BQEZT,1041,Female,38,No,0,0
2342-CKIAO,1066,Female,39,No,0,0
2344-JMOGN,1067,Male,54,Yes,0,1
2346-CZYIL,743,Male,42,No,0,0
2346-DJQTB,360,Female,54,No,0,0
2346-LOCWC,1068,Female,52,Yes,2,10
2347-WKKAE,869,Male,52,Yes,0,9
2348-KCJLT,244,Female,60,Yes,0,8
2351-BKRZW,233,Female,30,Yes,1,10
2351-RRBUE,51,Female,20,Yes,0,2
2357-COQEK,114,Female,79,No,0,0
2359-KLTEK,1069,Female,25,Yes,3,2
2359-KMGLI,1070,Male,52,No,0,0
2359-QWQUL,32,Female,35,Yes,0,1
2360-RDGRO,1071,Male,48,Yes,0,4
2361-FJWNO,706,Male,55,No,0,0
2361-UPSND,273,Female,45,Yes,0,6
2362-IBOOY,182,Male,22,No,0,0
2363-BJLSL,1072,Male,49,No,0,0
2364-UFROM,204,Male,47,No,0,0
2368-GAKKQ,1073,Female,28,No,0,0
2369-FEVNO,1074,Male,36,No,0,0
2369-UAPKZ,823,Male,43,No,0,0
2371-JQHZZ,880,Male,54,Yes,0,7
2371-JUNGC,815,Male,46,No,0,0
2371-KFUOG,246,Male,54,No,0,0
2372-HWUHI,930,Male,45,No,0,0
2373-NTKOD,375,Male,40,No,0,0
2378-HTWFW,464,Male,78,No,0,0
2378-VTKDH,1075,Male,76,Yes,0,9
2378-YIZKA,812,Female,61,Yes,1,7
2379-ENZGV,182,Male,61,No,0,0
2379-GYFLQ,1055,Male,31,No,0,0
2380-DAMQP,612,Female,63,Yes,0,10
2382-BCKQJ,124,Female,41,No,0,0
2384-OVPSA,1015,Female,65,No,0,0
2386-LAHRK,1076,Male,22,No,0,0
2386-OWURY,1077,Female,20,No,0,0
2387-KDZQY,1004,Male,46,No,0,0
2388-LAESQ,924,Female,74,Yes,0,3
2391-IPLOP,886,Male,25,Yes,0,6
2391-SOORI,1078,Male,40,No,1,0
2393-DIVAI,1079,Female,40,No,0,0
2397-BRLOM,1080,Male,67,Yes,0,2
2398-YPMUR,1081,Female,77,Yes,0,2
2400-FEQME,472,Male,57,Yes,3,1
2400-XIWIO,1082,Female,30,Yes,0,2
2402-TAIRZ,968,Female,48,No,0,0
2403-BCASL,1083,Male,66,Yes,0,1
2404-JIBFC,1084,Female,37,Yes,3,1
2405-LBMUW,1085,Female,25,Yes,1,1
2408-PSJVE,403,Male,41,Yes,3,1
2408-TZMJL,1063,Male,43,Yes,0,1
2408-WITXK,885,Female,67,No,0,0
2410-CIYFZ,475,Male,42,No,2,0
2418-TPEUN,317,Female,58,Yes,1,2
2419-FSORS,1086,Male,29,Yes,0,8
2424-WVHPL,1087,Male,79,No,0,0
2428-HYUNX,1088,Male,74,Yes,0,4
2428-ZMCTB,442,Male,24,No,0,0
2429-AYKKO,35,Male,52,No,0,0
2430-RRYUW,816,Male,32,No,0,0
2430-USGXP,1089,Male,44,Yes,0,1
2432-TFSMK,1090,Male,43,No,0,0
2433-KMEAS,1014,Male,62,No,0,0
2434-EEVDB,1091,Female,45,Yes,0,7
2436-QBZFP,417,Female,53,Yes,1,4
2439-LYPMQ,202,Male,79,Yes,0,7
2439-QKJUL,497,Male,31,No,0,0
2446-BEGGB,930,Female,79,No,0,0
2446-PLQVO,1092,Male,32,No,0,0
2446-ZKVAF,429,Male,19,Yes,0,5
2450-ZKEED,1093,Female,33,No,0,0
2451-YMUXS,371,Male,79,No,0,0
2452-KDRRH,426,Male,76,No,0,0
2452-MRMZF,1094,Female,70,Yes,0,9
2452-SNHFZ,1095,Female,19,No,0,0
2453-SAFNS,964,Female,68,No,0,0
2454-RPBRZ,1096,Female,67,Yes,0,1
2455-USLMV,906,Female,30,No,0,0
2458-EOMRE,716,Female,19,No,0,0
2460-FPSYH,952,Female,72,No,0,0
2460-NGXBJ,1097,Male,65,Yes,1,8
2462-XIIJB,1098,Male,33,No,0,0
2465-BLLEU,1086,Male,31,No,0,0
2466-FCCPT,1099,Female,50,Yes,3,7
2466-NEJOJ,277,Male,58,Yes,3,6
2468-SJFLM,839,Male,37,No,0,0
2469-DTSGX,714,Female,72,No,0,0
2472-OVKUP,1100,Male,39,Yes,2,5
2474-BRUCM,685,Male,76,Yes,0,1
2474-LCNUE,635,Female,20,Yes,0,5
2475-MROZF,1101,Male,36,No,0,0
2476-YGEFM,132,Female,24,No,0,0
2478-EEWWM,870,Male,21,Yes,0,1
2479-BRAMR,383,Male,74,Yes,0,1
2480-EJWYP,1102,Female,66,Yes,0,5
2480-JZOSN,1103,Female,64,Yes,0,8
2480-SQIOB,134,Male,40,Yes,2,1
2481-SBOYW,1104,Female,62,No,1,0
2482-CZGBB,1084,Male,41,No,0,0
2483-XSSMZ,1105,Female,22,No,0,0
2484-DGXPZ,154,Female,45,Yes,0,1
2485-ITVKB,957,Female,36,Yes,0,1
2486-WYVVE,505,Male,47,Yes,0,1
2495-INZWQ,1106,Male,44,No,0,0
2495-KZNFB,14,Female,26,No,0,0
2495-TTHBQ,855,Female,52,No,1,0
2498-XLDZR,61,Female,26,Yes,1,1
2499-AJYUA,1107,Female,69,Yes,0,8
2501-XWWTZ,384,Male,51,No,0,0
2504-DSHIH,1108,Male,66,Yes,0,1
2506-CLAKW,1109,Female,20,No,0,0
2506-TNFCO,1110,Female,76,Yes,0,1
2507-QZPQS,95,Male,24,No,0,0
2509-TFPJU,841,Male,62,Yes,0,1
2511-ALLCS,1050,Female,38,Yes,3,5
2511-MORQY,1111,Male,46,Yes,0,4
2514-GINMM,882,Male,60,No,0,0
2516-VQRRV,777,Female,77,No,0,0
2516-XSJKX,1106,Female,20,Yes,2,1
2519-ERQOJ,54,Male,74,No,0,0
2519-FAKOD,827,Male,30,No,0,0
2519-LBNQL,863,Male,80,Yes,0,2
2519-TWKFS,1112,Male,34,Yes,1,2
2520-SGTTA,1113,Female,23,Yes,3,4
2521-NPUZR,1114,Male,26,Yes,0,9
2522-AHJXR,170,Male,36,Yes,0,6
2522-WLNSF,15,Female,74,Yes,0,2
2523-EWWZL,1115,Female,26,Yes,0,0
2525-GVKQU,205,Female,60,No,0,0
2528-HFYZX,1116,Male,66,Yes,0,2
2530-ENDWQ,712,Female,55,Yes,0,2
2530-FMFXO,1062,Male,38,Yes,1,3
2533-QVMSK,1117,Male,46,Yes,0,9
2533-TIBIX,286,Male,59,Yes,2,8
2535-PBCGC,1118,Female,21,Yes,0,5
2538-OIMXF,656,Female,29,No,1,0
2541-YGPKE,1119,Male,29,Yes,3,10
2542-HYGIQ,1120,Female,58,No,0,0
2545-EBUPK,230,Female,70,No,0,0
2545-LXYVJ,1121,Male,19,Yes,0,1
2546-KZAAT,1122,Male,28,Yes,0,9
2550-AEVRU,134,Female,33,Yes,2,1
2550-QHZGP,34,Male,48,No,0,0
2558-BUOZZ,1123,Male,51,No,0,0
2560-PPCHE,115,Female,22,No,0,0
2560-QTSBS,899,Female,26,Yes,2,6
2560-WBWXF,1117,Male,45,No,0,0
2565-JSLRY,1124,Male,21,No,0,0
2568-BRGYX,336,Male,43,No,0,0
2568-OIADY,124,Female,26,Yes,0,1
2569-WGERO,105,Female,30,No,0,0
2573-GYRUU,677,Male,65,Yes,0,1
2575-GFSOE,362,Female,25,Yes,0,1
2576-HXMPA,113,Female,30,No,0,0
2577-GVSIL,1125,Male,61,Yes,0,10
2578-JQPHZ,1126,Male,30,No,0,0
2580-ASVVY,231,Female,23,Yes,0,1
2580-ATZSQ,587,Female,55,Yes,2,0
2581-VKIRT,729,Female,57,Yes,0,6
2582-FFFZR,963,Female,34,No,0,0
2585-KTFRE,124,Male,61,No,1,0
2586-CWXVV,1127,Male,45,Yes,0,9
2587-EKXTS,605,Male,48,No,0,0
2587-YNLES,440,Female,52,Yes,1,4
2589-AYCRP,811,Female,63,No,0,0
2592-HODOV,1022,Male,44,No,0,0
2592-SEIFQ,142,Male,36,No,0,0
2592-YKDIF,80,Female,47,No,0,0
2595-KIWPV,816,Male,48,No,1,0
2599-CIPQE,1128,Male,36,Yes,3,4
2599-CZABP,1129,Male,57,Yes,0,1
2603-HVKCG,1129,Male,20,No,0,0
2604-IJPDU,267,Female,32,Yes,0,0
2604-XVDAM,1130,Female,54,No,0,0
2606-PKWJB,1131,Male,62,No,3,0
2606-RMDHZ,530,Male,47,No,0,0
2607-DHDAK,880,Male,54,Yes,2,10
2607-FBDFF,99,Male,32,No,0,0
2608-BHKFN,1132,Female,46,No,0,0
2609-IAICY,1099,Female,32,No,0,0
2612-PHGOX,362,Male,47,Yes,0,4
2612-RANWT,1133,Female,24,No,0,0
2612-RRIDN,604,Male,25,No,0,0
2615-YVMYX,1134,Male,68,Yes,0,7
2616-FLVQC,915,Male,42,No,0,0
2616-UUTFK,1135,Male,54,Yes,0,1
2619-WFQWU,620,Female,34,No,0,0
2621-UDNLU,488,Female,35,Yes,0,9
2623-DRYAM,328,Female,19,Yes,0,0
2625-TRCZQ,832,Female,21,Yes,0,0
2626-URJFX,1136,Male,55,Yes,3,1
2626-VEEWG,1047,Male,48,Yes,2,6
2632-IVXVF,1137,Female,40,Yes,3,3
2632-TACXW,1138,Female,49,Yes,0,4
2632-UCGVD,86,Male,71,Yes,0,6
2634-HCZGT,44,Male,71,Yes,0,1
2636-ALXXZ,843,Female,68,No,0,0
2636-OHFMN,1139,Male,26,Yes,0,4
2636-SJDOU,691,Male,34,No,0,0
2637-FKFSY,376,Female,61,Yes,0,2
2639-UGMAZ,863,Male,73,No,0,0
2640-LYMOV,1084,Male,59,No,0,0
2640-PMGFL,1140,Male,35,No,0,0
2642-DTVCO,1141,Male,68,No,0,0
2642-MAWLJ,943,Female,26,Yes,2,8
2645-QTLMB,1142,Male,22,No,0,0
2649-HWLYB,411,Male,45,Yes,0,2
2650-GYRYL,1143,Male,25,Yes,1,6
2651-ZCBXV,953,Male,49,No,0,0
2654-VBVPB,1144,Female,22,No,0,0
2656-FMOKZ,897,Female,70,No,2,0
2656-TABEH,849,Male,57,Yes,0,1
2657-ALMWY,1145,Female,65,Yes,0,1
2657-VPXTA,325,Female,45,Yes,3,8
2659-VXMWZ,975,Male,58,Yes,0,0
2660-EMUBI,124,Male,71,No,0,0
2661-GKBTK,30,Male,39,Yes,3,7
2662-NNTDK,52,Male,50,No,0,0
2664-XJZNO,920,Male,43,Yes,3,5
2665-NPTGL,509,Female,79,Yes,0,8
2667-WYLWJ,1146,Female,44,Yes,0,1
2668-TZSPS,191,Male,32,No,0,0
2669-OIDSD,750,Female,58,Yes,0,3
2669-QVCRG,327,Female,32,No,0,0
2672-DZUOY,1067,Male,46,No,0,0
2672-HUYVI,464,Female,53,No,0,0
2672-OJQZP,419,Female,35,No,0,0
2672-TGEFF,1147,Female,33,Yes,2,3
2673-CXQEU,247,Female,73,No,0,0
2673-ZALNP,1148,Female,29,No,0,0
2674-MIAHT,1112,Female,26,No,0,0
2674-MLXMN,1138,Female,73,No,0,0
2675-DHUTR,1149,Male,80,Yes,0,8
2675-IJRGJ,552,Male,62,No,0,0
2675-OTVVJ,1150,Male,76,Yes,0,5
2676-ISHSF,203,Male,22,No,0,0
2676-OXPPQ,1151,Male,22,No,0,0
2676-SSLTO,1127,Male,49,No,0,0
2680-XKKNJ,1076,Female,60,No,0,0
2682-KEVRP,16,Female,65,No,0,0
2683-BPJSO,637,Male,37,Yes,0,0
2683-JXWQQ,46,Male,24,Yes,1,3
2684-EIWEO,41,Female,69,No,0,0
2685-SREOM,600,Female,36,Yes,0,1
2688-BHGOG,1152,Male,73,No,0,0
2690-DVRVK,100,Male,27,Yes,2,1
2691-NZETQ,786,Male,28,No,0,0
2692-AQCPF,1153,Female,32,Yes,0,6
2692-BUCFV,496,Male,79,No,0,0
2692-PFYTJ,1154,Female,23,No,0,0
2694-CIUMO,207,Female,47,No,0,0
2696-ECXKC,209,Female,34,Yes,1,6
2696-NARTR,477,Male,40,No,0,0
2696-RZVZW,751,Male,19,Yes,0,4
2697-NQBPF,175,Male,51,No,0,0
2700-LUEVA,462,Male,49,No,0,0
2703-AMTUL,1069,Male,40,Yes,1,2
2706-QZIHY,1155,Female,35,Yes,0,9
2709-UQGNP,821,Male,38,No,0,0
2710-WYVXG,324,Female,36,No,0,0
2712-SYWAY,857,Female,30,No,0,0
2716-GFZOR,1156,Male,48,Yes,0,10
2717-HVIZY,400,Female,24,No,2,0
2718-GAXQD,89,Female,68,Yes,3,1
2718-YSKCS,1157,Male,64,Yes,3,6
2719-BDAQO,12,Male,36,No,0,0
2720-FVBQP,1158,Female,28,Yes,1,1
2720-WGKHP,1159,Male,65,No,0,0
2722-JMONI,565,Female,73,Yes,0,1
2722-VOJQL,182,Male,30,No,0,0
2724-FJDYW,56,Male,31,No,3,0
2725-IWWBA,1160,Male,52,Yes,2,9
2725-KXXWT,1161,Male,26,Yes,0,0
2725-TTRIQ,959,Female,45,Yes,3,10
2729-VNVAP,1162,Female,35,Yes,1,0
2731-GJRDG,733,Female,55,No,0,0
2732-ISEZX,1163,Female,44,No,0,0
2737-WFVYW,524,Female,28,No,0,0
2737-YNGYW,1164,Female,29,No,0,0
2739-CACDQ,1165,Female,79,No,0,0
2739-CCZMB,1166,Male,39,No,1,0
2740-JFBOK,530,Male,35,No,0,0
2740-TVLFN,435,Male,42,No,0,0
2746-DIJLO,163,Female,40,No,0,0
2748-MYRVK,1167,Female,22,No,0,0
2749-CTKAJ,1168,Male,37,Yes,0,3
2750-BJLSB,1169,Female,32,No,0,0
2753-JMMCV,1170,Male,41,No,0,0
2754-SDJRD,714,Female,74,No,0,0
2754-VDLTR,1171,Male,54,No,0,0
2754-XBHTB,660,Female,40,No,0,0
2758-RNWXS,1172,Male,60,No,0,0
2761-OCIAX,820,Male,74,No,0,0
2761-XECQW,82,Male,67,Yes,0,1
2770-NSVDG,1173,Male,25,Yes,0,4
2773-MADBQ,830,Female,46,No,0,0
2773-OVBPK,1174,Male,60,Yes,0,1
2774-LVQUS,88,Female,65,Yes,0,2
2775-SEFEE,59,Male,56,No,1,0
2777-PHDEI,21,Female,20,No,0,0
2778-OCLGR,1175,Male,75,Yes,0,1
2782-JEEBU,534,Male,39,No,0,0
2782-LFZVW,3,Female,52,No,0,0
2786-GCDPI,618,Female,75,No,0,0
2788-CJQAQ,1176,Male,39,No,0,0
2789-CZANW,1014,Female,49,Yes,1,7
2789-HQBOU,1124,Male,60,No,0,0
2790-XUYMV,1177,Male,19,No,1,0
2791-SFVEW,1178,Female,63,No,0,0
2792-LSHWX,1179,Female,49,No,0,0
2792-VPPET,1180,Male,28,No,0,0
2794-XIMMO,706,Male,61,Yes,0,1
2796-NNUFI,680,Female,56,Yes,0,1
2796-UUZZO,685,Male,30,Yes,2,9
2798-NYLMZ,1181,Male,29,Yes,0,10
2799-ARNLO,1182,Female,67,Yes,0,0
2799-TSLAG,379,Female,25,Yes,3,9
2800-QQUSO,1183,Male,48,No,0,0
2800-VEQXM,1184,Female,48,No,0,0
2801-NISEI,1185,Male,28,No,0,0
2804-ETQDK,1043,Male,57,No,2,0
2805-AUFQN,1147,Female,42,No,0,0
2805-EDJPQ,795,Female,45,Yes,0,9
2806-MLNTI,391,Male,79,Yes,0,4
2808-CHTDM,594,Female,47,Yes,2,4
2809-ILCYT,726,Female,56,Yes,0,10
2809-ZMYOQ,1048,Female,33,No,0,0
2810-FTLEM,493,Female,21,No,0,0
2811-POVEX,1036,Female,74,Yes,3,4
2812-ENYMO,251,Male,22,No,0,0
2812-REYAT,1009,Female,56,Yes,0,3
2812-SFXMJ,1054,Male,46,No,3,0
2815-CPTUL,917,Male,68,No,0,0
2817-LVCPP,1186,Female,36,No,0,0
2817-NTQDO,1187,Male,52,No,0,0
2819-GWENI,1188,Female,64,Yes,1,9
2821-WARNZ,415,Female,25,No,1,0
2823-LKABH,1189,Female,51,No,0,0
2824-DXNKN,1190,Female,26,Yes,1,8
2824-MYYBN,1135,Female,43,Yes,2,0
2826-DXLQO,1191,Male,80,Yes,0,10
2826-UWHIS,726,Male,64,Yes,0,4
2828-SLQPF,1192,Male,53,No,0,0
2829-HYVZP,360,Male,42,No,0,0
2830-LEWOA,282,Male,37,Yes,1,3
2831-EBWRN,479,Male,46,No,0,0
2832-KJCRD,271,Female,22,No,0,0
2832-SCUCO,1193,Female,52,No,0,0
2833-SLKDQ,1194,Male,23,No,0,0
2834-JKOOW,775,Female,60,No,0,0
2834-JRTUA,4,Male,30,No,0,0
2834-SPCJV,333,Male,40,Yes,0,1
2839-RFSQE,1189,Female,60,No,0,0
2840-XANRC,76,Male,77,Yes,0,1
2842-BCQGE,854,Male,39,No,0,0
2842-JTCCU,1195,Male,27,No,0,0
2843-CQMEG,100,Male,21,No,0,0
2845-AFFTX,875,Male,78,Yes,0,0
2845-HSJCY,89,Female,49,Yes,0,1
2845-KDHVX,10,Female,57,Yes,0,9
2848-YXSMW,1196,Male,38,Yes,0,1
2851-MMUTZ,843,Female,29,No,0,0
2851-STERV,813,Male,79,No,0,0
2853-CWQFQ,30,Male,20,No,1,0
2856-HYAPG,1197,Female,62,No,0,0
2856-NNASM,1198,Male,74,No,0,0
2858-EIMXH,963,Female,69,Yes,0,1
2858-MOFSQ,1199,Female,50,No,0,0
2860-RANUS,1200,Female,67,No,0,0
2862-JVEOY,307,Male,33,No,0,0
2862-PFNIK,1201,Male,47,No,3,0
2863-IMQDR,698,Female,52,No,0,0
2865-TCHJW,1202,Female,74,No,0,0
2866-IKBTM,882,Female,57,No,0,0
2867-UIMSS,236,Male,24,No,0,0
2868-LLSKM,124,Female,50,Yes,2,1
2868-MZAGQ,819,Male,49,No,0,0
2868-SNELZ,76,Female,54,No,0,0
2869-ADAWR,1203,Female,41,No,0,0
2873-ZLIWT,88,Female,64,Yes,0,1
2874-YXVVA,273,Female,38,No,0,0
2876-GZYZC,909,Female,49,No,0,0
2876-VBBBL,607,Female,64,No,0,0
2877-VDUER,842,Female,36,Yes,1,6
2878-DHMIN,905,Male,63,Yes,2,7
2878-RMWXY,451,Male,75,Yes,0,5
2880-FPNAE,1204,Male,69,Yes,0,1
2882-DDZPG,1041,Female,27,No,0,0
2882-WDTBA,358,Male,64,Yes,0,4
2883-ILGWO,1205,Male,68,No,0,0
2884-GBPFB,1206,Female,61,Yes,0,4
2885-HIJDH,816,Male,47,Yes,3,9
2886-KEFUM,965,Female,50,Yes,0,1
2887-JPYLU,1207,Female,58,No,3,0
2888-ADFAO,545,Female,47,Yes,3,5
2889-FPWRM,113,Male,31,Yes,0,1
2890-WFBHU,1208,Female,26,No,0,0
2892-GESUL,221,Female,20,Yes,3,5
2894-QOJRX,795,Female,19,Yes,0,1
2896-TBNBE,1209,Male,46,Yes,0,5
2897-DOVND,1210,Male,31,No,0,0
2898-LSJGD,646,Female,30,Yes,0,1
2898-MRKPI,368,Male,36,Yes,1,10
2900-PHPLN,1211,Female,73,Yes,0,2
2903-YYTBW,1212,Male,48,Yes,2,1
2904-GGUAZ,921,Female,24,Yes,0,8
2905-KFQUV,31,Female,61,Yes,0,9
2907-ILJBN,143,Female,21,Yes,0,7
2908-WGAXL,470,Female,40,Yes,2,9
2908-ZTPNF,1028,Female,41,No,0,0
2911-IJORQ,1213,Male,42,No,0,0
2911-UREFD,1214,Female,50,Yes,0,3
2911-WDXMV,1215,Male,29,No,3,0
2916-BQZLN,1216,Male,29,No,0,0
2919-HBCJO,1217,Female,36,No,0,0
2920-RNCEZ,1184,Male,46,Yes,1,10
2921-XWDJH,879,Female,76,Yes,0,0
2923-ARZLG,1218,Male,38,Yes,2,5
2924-KHUVI,1219,Male,28,Yes,0,7
2925-MXLSX,1220,Female,37,No,0,0
2925-VDZHY,269,Male,64,Yes,2,1
2926-JEJJC,602,Female,26,No,0,0
2927-CVULT,989,Female,64,Yes,1,1
2927-QRRQV,1221,Male,44,Yes,0,1
2928-HLDBA,225,Female,31,No,0,0
2929-ERCFZ,1222,Female,22,Yes,0,1
2929-QNSRW,698,Female,21,Yes,0,1
2930-UOTMB,859,Female,29,No,0,0
2931-FSOHN,1223,Male,76,No,0,0
2931-SVLTV,1161,Male,59,Yes,3,6
2931-VUVJN,1101,Female,71,Yes,0,0
2931-XIQBR,292,Female,41,Yes,3,7
2933-FILNV,1224,Female,53,Yes,3,0
2933-XEUJM,1225,Female,56,No,0,0
2937-FTHUR,811,Female,45,No,3,0
2946-KIQSP,89,Female,59,No,0,0
2947-DOMLJ,450,Male,47,No,2,0
2951-QOQTK,1226,Male,28,No,0,0
2952-QAYZF,1227,Male,30,No,0,0
2954-PIBKO,32,Female,64,Yes,0,7
2955-BJZHG,1228,Male,41,Yes,0,1
2955-PSXOE,317,Female,48,No,0,0
2956-GGUCQ,926,Male,71,Yes,0,1
2957-JIRMN,1229,Female,69,No,0,0
2957-LOLHO,89,Male,49,No,0,0
2958-NHPPS,770,Male,45,No,0,0
2959-EEXWB,876,Female,54,Yes,2,10
2959-FENLU,131,Female,64,No,0,0
2959-MJHIC,720,Male,60,Yes,0,3
2960-NKRSO,738,Male,60,No,0,0
2961-VNFKL,1230,Female,42,Yes,0,2
2962-XPMCQ,1227,Male,56,No,0,0
2967-MXRAV,38,Male,29,Yes,0,9
2968-SSGAA,1231,Female,41,No,0,0
2969-QWUBZ,1232,Female,53,No,0,0
2969-VAPYH,650,Female,28,No,0,0
2969-WGHQO,900,Female,39,Yes,3,1
2971-SGAFL,996,Female,34,No,0,0
2972-YDYUW,481,Female,47,No,0,0
2974-GGUXS,1233,Female,74,Yes,0,0
2977-CEBSX,639,Female,61,No,0,0
2978-XXSOG,1234,Female,33,No,0,0
2979-SXESE,1132,Female,57,Yes,0,1
2982-IHMFT,182,Female,75,No,0,0
2982-VPSGI,649,Female,64,Yes,0,1
2983-ZANRP,171,Female,27,Yes,0,1
2984-AFWNC,333,Female,52,No,0,0
2984-MIIZL,1209,Male,51,No,0,0
2984-RGEYA,628,Female,38,Yes,0,9
