ServiceID,ServiceHash,PhoneService,MultipleLines,InternetService,InternetType,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData
162,18946238c52049bbe4497effbc9a6d5409e08a5bd66c09f277551938ca05487f,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,No
163,969971019025003297bb91849251d79feb38c20fc2fba77ade2c4f11cf750c4a,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
164,557df1819b9748eb86f7d985bc0b65ef2c7e18a7b673528df6a31508367ec2f7,Yes,Yes,Yes,DSL,No,No,No,No,Yes,No,No,No
165,d471dc4fb079f8a9686013c7f2456a773af4265225117db1aed6d884fc59ee78,Yes,No,Yes,DSL,Yes,No,Yes,Yes,No,No,No,Yes
166,f7580013fac9a9ec419a54f91300dbcef7e17e0f1c80c90022594c5a8956c48c,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes
167,7e85a2212721e41b527b44afff3ab4ee5d4a93178995dc643bcfb246680335cf,No,,Yes,DSL,No,No,No,No,No,No,No,Yes
168,b68222c308b66a639829a12be59f1c003b92e146763eacb20d9c450317db7a1a,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes
169,143723008b6da431255ccdaade4f49f6954f1ee2341828dbf01f86e4d6458617,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes
170,e4a81214200cf3a8cf96bcfab7b3649d15a7b091fe4087e7d981e80a9f18e6ec,Yes,No,Yes,DSL,No,No,No,Yes,No,No,No,Yes
171,2d1c1a1bde3a8acc003172e4712b1e33bc88306324a8342041a0fe608a82c797,Yes,Yes,Yes,DSL,No,No,No,No,No,No,No,Yes
172,ed6350eaee50a0b136c2b24ea52cf9d47bc8f47cf60fd8650a350c2077e030a2,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No
173,d4041e2f4bd5f03902ee303a2d3efe00ffca0e9df5c6831d4ff48ded8294c0a3,Yes,No,Yes,Cable,No,Yes,Yes,Yes,No,No,No,Yes
174,50250e4283dc0402b78fd9725973ccf2a87f96d1b8202a8ac8350ee51a5b4763,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Yes,Yes
175,1f5eb0644978bbad177c90940dc66bec2c2499d88859851cc15886ebc4189eba,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Yes,Yes,Yes
176,c7ef4166ca0962b7946d8730d9cc0649e310399d056a3a8c962a2ac09f4cf2d5,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
177,65e2a355d8103dc98add6d7ad762f6a7a79673ef601c151ab41b0afef935c91b,No,,Yes,Cable,Yes,No,Yes,No,No,Yes,Yes,No
178,ac1feb4ce00271c37b6ee6db78c50432e667a2c476b4abab8a35914e1f066a33,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,No,No,No,Yes
179,d7b161aa736df65c7c3f63714cab270b69f891684dd9302b4877cbee4f6554d6,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
180,1e2e969af13203e5bbdbe0c9a5b623d9d7dd037ed4788ad8a7f578d79b8aeeda,No,,Yes,Cable,No,No,Yes,Yes,No,No,No,No
181,40d1915f210ec7a11580eae960ee89f45f0f60a2326c5b8e02757c3f1c939703,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
182,0d050a489e3bbd28557d45e015c6675b9f7accb69de0e5a94491e9a28df553cf,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,No,Yes
183,4b63454dcf254330d887563d158f2870587f530f91e64b88b06710fc9dd08316,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Yes,No
184,0c99bd992badb1942b00f4fa32ef5e09e7d2e9ff49221993260de819f4999431,Yes,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,Yes
185,394509cca781db58365090b08c427d06ab384522c8dab82e36db628cef7ec447,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
186,3864fac9424e93fdb6267195cc7575294a310b8f0511207776fbc39111f603c8,Yes,No,Yes,DSL,No,No,No,No,Yes,Yes,Yes,Yes
187,0efbf7f5c271fdadb85de3e3f2b2dcdda24de9574b44251fb22fa3539aa9fac1,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes
188,1e202f342217432cec52d5ca1389557f4817019ca1f3287ee62470a63e3e990a,Yes,No,Yes,Cable,No,No,No,Yes,No,No,No,Yes
189,27f99cdb45f572f4f227fcb540ef891e3744bc1be6ad2e87e796cb1dc40d1f79,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No
190,e3af9891399127944b0921648bc80664bfad97fc0a6ca6502afa33bb7d822fae,Yes,No,Yes,Cable,Yes,No,No,Yes,Yes,Yes,Yes,Yes
191,c8c318f4ab690425aa3cfb121e4161b1fb466e059bb9f639d81bd0f9e05fac03,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,No,Yes
192,e9b77ba4eb8cb3e29fd42e66fe13aae2487bca27889c2d8b82579ec325acbf9c,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,No,Yes
193,639a68c6895596f9658e8d4eeec14d35542d3c7e25fe6cba0032db2bacde0b77,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No
194,b657ed8681e3887782532c67e16cde9fc1173f1c2252769420178beb1732bbaf,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes
195,5a40dec0ca2acf4ad973f3bbf314921b96a2d9a716f12e7305c1f2cda4200fb7,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Yes
196,a236c93f9ad50b20cfa9c3c51f22d07e8160b9d31a57cec3f4c147cccde8883b,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,No
197,9849f244fbb7a30a0f0cc4690dd4049b2f428211dab3178b626aa87f574defbb,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,No,Yes
198,327c85397bdfa7451d4894c9e0b40065e269a7e3841b372b9a0d3dfdf3a14dcf,Yes,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Yes
199,d9a3cc240ed9cebd5e600edf13a1045c13ee803733166b38f2eaa30ce15c683e,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes
200,8781446f42d70004029c22a901a6a7837c25fb3c2c34d5d06796f5b836afbe0c,Yes,No,Yes,Cable,Yes,No,No,No,No,Yes,Yes,Yes
201,120d8a89d4765fb78c3434dd776f0a0b607ef936b7d7bfdf4b7403c171614286,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes
202,5e9318e912d32f70b161c976d0f6cc2cc13c3799aaa21387823f641c3c2e8656,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,No,Yes
203,4c4c8da29b4ee872743f346aaa7fc89dffaf7af3452ebf044437098f18a3bf4c,Yes,No,Yes,Cable,No,No,Yes,Yes,No,No,No,Yes
204,49153e7521985e5bcd0708e509cacf309fd5c82b4de83937594c79c7c82559a7,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes
205,dc52b30b3e5168d8c0fabe7089e6714beb0bee43bdd6506f63287c3ff7eb38db,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Yes,Yes
206,db8506e1ec65806c32929c2f0f13b7bae0fe000d0e4d0b603fa0b253bf52dc8f,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
207,07c49fb4b4ec0a114831305713964d272288095a74e853e6a6b2c2fb17cffc83,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,Yes
208,d6968005b7ed194d7e00642ba26b820efa80331b1e12c8543a893c2356979d0f,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes
209,30b4e71586b29f993b76d8b6d0d5f1e571c6c2ca447d1284c068f5bba9dd6e55,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,Yes
210,478642601615f6879b69fe4e41f8e452860e099f9bc350576b5a54869f81c970,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes
211,c809a3e70d541c78a1fc63136795f1e9eef274ec49d041528057eb15f7f4522f,Yes,No,Yes,Cable,No,Yes,No,No,No,Yes,Yes,Yes
212,23cf82a93bd40aa4aec9e8bbee9dd89ccefe06f4fbba05aea74da2198a942768,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes
213,f880b146427959eca0a5afcc42488f9823841386e784630679d8ddcc40fdbe25,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes
214,5be839c42fd51e87be0ea8938d0a0f096da57f93e61d952d84314c6ff7dda9e3,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,No,Yes
215,7418c8836d0715fe336785dceb30012369764b234416d82bbf6f8b2583633f17,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,No
216,e4797a888d11f53d3a40212d1324f8f157b1c7de181af37269bc363cf063a257,No,,Yes,DSL,No,No,No,No,Yes,Yes,Yes,Yes
217,4b49bfcae075b3cc7b5153cec83b6a917ffb5c50544028197a1d35532d648785,Yes,No,Yes,Cable,No,Yes,Yes,Yes,Yes,No,Yes,Yes
218,91bdb8f27a3c0f2b9a45263ddfa7447e608e5a52f2ddbd6924971d8b793fcb5e,Yes,No,Yes,Cable,Yes,No,No,No,Yes,Yes,Yes,Yes
219,50008f81cfec42136e953d90a3292b59e25618866338e3b73bd9a179effde31a,No,,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Yes,Yes
220,b23836585d0fcfc3570fb26b36739fa39c30036b0cbdceaf834c0616eda83f82,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,No
221,5b50bf2eae0ea29b6399e6fe0c262cc218374e0e58fc1f3ebc754f23abcbad67,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
222,bb0d6e595dd9f3e0a6fb0066fa4d39a14830996c2a243512673cb1da5921b80d,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes
223,991796371ddfb70ebd6da2e336aeaa0f0a8b014719aae8d57547d7a350b08af8,No,,Yes,Cable,No,No,No,Yes,No,No,No,Yes
224,ec952009952af4bfc3301321909df9cdb37fae7a5a8f8fb67f5f06271260bd34,Yes,No,Yes,Cable,No,No,No,No,No,No,Yes,Yes
225,65b7dd0c68085636daa183d9b5832e61f459364dc675554f78ac1f1785141330,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,No
226,b8991ae5a717aee6166a8417eb6296a8b98477bbdfd2042f56262ccde43dff6a,No,,Yes,Cable,Yes,No,No,No,Yes,No,No,Yes
227,503a4d8f486c29e34cb77a1a534404cf23f582dbe4b51ad993d870411af7239a,Yes,No,Yes,Cable,Yes,No,Yes,Yes,Yes,No,No,Yes
228,4b15d2aa9bf29c58e87b600bf988b849b9b52327cd8a8d202c1ad199a39f99fd,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,No,Yes
229,1aba9f46eba655851d95c8c554341ccd62a69fe308d21cf5ffe2d87fd980e8c5,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes
230,71ae147d91096b2562242fd11923a51837f0737d960ae471a5edad573d64f99d,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No
231,ba07257b09d72aaed0ed1cffbbd187c70fc85ebc48d3a9cdad3b3164202013d2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,No
232,cb7c98725c0483f8b089ff09389ee49abe2107d34bf9d923a0b3df3c641f8b6c,Yes,No,Yes,DSL,Yes,No,Yes,Yes,Yes,No,No,Yes
233,b89914ecbfcb9a21f2a505a4d41a15cffbfc1ca9c6989b54798270112218f53d,Yes,Yes,Yes,DSL,Yes,No,No,Yes,No,No,No,No
234,0b9535b9eb3b572b86319e3a1d0c06a60b18b35abf3f825569b9f2b7dd9e96ff,Yes,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes
235,1951629b505134995e8f559816d56e1e816ead1ce048ab09bcb8f0aa4cddb097,Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,No
236,fd1ace0ab6778a553e45d86d65db607e57a2e886a9622e5e000bf9b945452dba,No,,Yes,DSL,No,No,No,No,No,No,No,No
237,22ea3e698f6b5fe7f42b52542e21c11e5a64b3e13f462108896618fe41fea577,Yes,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Yes,Yes
238,c5bd46ddbe4fea9f8629f36d4a2fd5fdebe237564364a9df9166e223113ca8f5,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,Yes
239,da51427946ecbb72a21aac60fd4f70bc50dcee9397da7597b1bb7222b20d3b79,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Yes
240,b16309fe0e48d5e95ad97b067e142b558e81f10f5a418b576971289baf9d645a,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Yes,Yes
241,fb8b159e00e83f94b9730564faa2da215fd05a5ad0c7beb6465dce5e12d89fee,Yes,No,Yes,Cable,Yes,No,No,Yes,Yes,Yes,Yes,No
242,52ec805b3afa86edaa4045b90187cde20e4dadf99fd94c983f3869773040c82d,Yes,Yes,Yes,Cable,Yes,Yes,Yes,No,No,Yes,Yes,Yes
243,08d05aa889cce7865606c777a17d824f4c81d07bfa83b3e5ed8c734adba691e4,Yes,No,Yes,Cable,No,Yes,No,Yes,No,No,No,No
244,9e480ae06ea044239bd1ccd60990db4a1e24b722cb0c93043f3538441410a98e,Yes,No,Yes,Cable,Yes,No,Yes,Yes,No,Yes,Yes,Yes
245,6e60f86693f3f584be5cec384990dff8a15aeb9486e410e193913ee3e0ad3d81,Yes,Yes,Yes,Cable,No,Yes,Yes,Yes,Yes,No,No,Yes
246,77bf1eb6d629c1e91d183cc1f85c4cae51552f045a8a25dfb9250b08535dca5c,Yes,Yes,Yes,Cable,No,No,No,Yes,Yes,No,No,Yes
247,2792ffe68a89c02256bf2b34da4cfcac6499956580d6230755ac7f738ec0b3a2,Yes,Yes,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,No
248,5b2f2f322651e81fd46ff7d14029f0cf747f08d712870bcdbd1b20aae668e9ea,No,,Yes,Cable,No,No,No,No,No,Yes,No,No
249,a2ddce2b80aca7cb1bfe54d8bf69fe07dabe6ed419f93825c1262485af38618c,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
250,0b706380f7a6c13801a5a037c93777d18f0ee9ffb537bd5964124c1fdf838e5d,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Yes
251,9689e7178eabbf2e68f69613e643f9d0ad3158a1bf91ad41c1964b2a85a20725,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,No,No
252,1e2a7390d738312ff40c5ec912c1e971a4e619f6f94db5a9587f0ac8eb4e1aca,No,,Yes,Cable,Yes,No,Yes,No,Yes,Yes,Yes,Yes
253,ec0ac0e9ec0ef7cc343a506659acfef423cd84015143cb7591675ee5b8b983ad,Yes,No,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes
254,93410a5610cdfe9ad2c4fdb391d5572e8a526ceb33ee73ea7ccc9d7549280f0c,No,,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes
255,82e348ec9fd4f1972011f355dbbbaa12eec0fe99bd6ddf4a1a92ae40e2680cd2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes
256,0a582f9a84953cc533f2b21418b60f29f8ae49e963dff9c5f539fb3ece7c29ce,No,,Yes,Cable,No,No,No,No,No,No,Yes,Yes
257,d6fbcdf3452d006a1bd3daec43449b5aa833cb66504001de466a6556451acee6,No,,Yes,DSL,No,No,No,No,Yes,Yes,No,Yes
258,49ca672ff00efe3e9d2090d11847a693a45c27f0a8ae826f6db63e03394a4580,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes
259,9338a37d2bc52021be9bdfafd44468a6c2ce812031a76575a80725ef507d1dfd,No,,Yes,DSL,No,No,Yes,Yes,No,No,No,Yes
260,c4cb98881643983147980324b10d2c98bba249866921d94e624cf5b8815cbaf7,Yes,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Yes,Yes
261,e3171a18bb00eaef87f2939fe01b709c2b8eeafd2e1bace022066ca00333ed1c,No,,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
262,35ac18e9cbc86505a2428e45fef49b85b14c67565d5ac35903e4fa78080ae87f,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes
263,806336703edaca2bdc6d2d524557cd0679aaab262f4dbcbc6416bf415e6b8724,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,Yes
264,b2230e627aacf28b8aad5186d5d6536cc5787709c4abf055b016ad364729463d,Yes,Yes,Yes,DSL,Yes,No,No,No,Yes,No,No,Yes
265,f19c75fadabc2dcc2520f987e573a87e1ff0bbeaeed4cd83603f02caab91f56f,No,,Yes,Cable,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
266,f692e39d4dbcab64506e8d48473914458e9126c5771504f8fdd09a1c88559e89,No,,Yes,DSL,No,Yes,No,No,Yes,No,No,Yes
267,ae95c9af32f0979c791b84ff7bfe38550d3148988f26e35eb35c141a4e1149c5,Yes,No,Yes,Cable,Yes,No,No,Yes,No,No,No,Yes
268,db49a0d8373e2e8bd3bd116462b7dc1c83862e52102fc8058d734cf437c05e6e,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No
269,b6d7b2066c6686c274c9c714b6e577d18ad3d9b3fd57c377bc46d6d7b80ca86a,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,No,No,Yes
270,4bea5bc5ff00060144475181f793e49059327587d25f0878450d5104b55ad8a5,No,,Yes,Cable,No,Yes,No,No,No,No,No,No
271,b796e8b075d0886b7aeecabde73f1bcf40fcf64dcd36030a91c804781413817b,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,No,Yes
272,f7f2e400100efa0cb95f95a4948a5c802894a8e14d58c7cef10100308cc7eae0,No,,Yes,DSL,No,No,No,No,No,Yes,Yes,Yes
273,4d1a652913df29381d751063f94b27b14b31328249cfb3100f65daf9bb26edf7,No,,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,No
274,0f6c8c514180beb6585131c2d030f17730030ff3e1c61c5061424fc42e2bde4f,No,,Yes,DSL,No,No,No,Yes,Yes,No,No,Yes
275,8e10dcc579659769244f80bf6129a27e842bec7bd7d1915e949bf5966636452b,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
276,a8648f2705762460d16acf4001b001fd40669f5bf002cf9e5c8bdc0930fbacc3,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes
277,b5ca4bc034bd253bed4aa231737b85193fe40aef36d90e13aee2df6f46d3a6a4,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
278,5989f1babeec028da1b8bb9d30aa85f791cf1648209ccd2877fa005566121760,Yes,No,Yes,DSL,No,No,Yes,No,Yes,No,No,Yes
279,662b61fdb506549448e989ac2985d9c0646202dc6a24401d53126acf93227177,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes
280,488793948b547bd80d0af01931aa9b5b61947e68c4ce59060415aa6b2014d6ea,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
281,db51f79889b7c580159c9bb4808c42bf78910078b347baa110bf3e3d3a0a4d60,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes
282,249bdf59042444d6daf3d13dd3209cbbaca980ce66ed7c15366642b5aaf256cd,Yes,No,Yes,Cable,Yes,No,No,Yes,No,No,No,No
283,1804e3ded0e8523206f51dd15d82a90ae44428c1f8ed5cfcaa14cb0987528907,Yes,Yes,Yes,Cable,Yes,No,No,Yes,No,Yes,Yes,Yes
284,21cf30e10f3cda94809196a94c9b7c6c57bec857e8cd3360c114452c2f2dd7f2,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes
285,5057a6df174d846dd7acc5be682dc7a6027ba529b2e48e0fbb76b761928bbb3d,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,No,No,No,Yes
286,279444cae6b0e57e7c4011bdc5b77693dac8acfa6838cf5960b7cc1d72f55678,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,Yes
287,382ac5cbed233948f0de27c8ae4699622f55f1dca2cc35ed3bc9cbf8fff2c3c0,Yes,No,Yes,Cable,No,No,No,No,Yes,Yes,Yes,No
288,1f3605c241e784f7cd4a37b85c4fd5efeffaa3c252bf1d2df9c81c08efd773f8,No,,Yes,Cable,Yes,No,No,Yes,No,Yes,Yes,Yes
289,e999eb288f3034e4f35fd287129a01242a4d68aa4282cfba06d38d05cba8ed72,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes
290,cb38d1d1d7fad5d4ab36b514a1f212f909d2f8c095004dceb4d963fdf0f314a2,No,,Yes,Cable,Yes,No,No,No,No,No,No,Yes
291,53ad0fdb85720f387e7585551352e793b83a6bbccb320bd10cf3ba3fbeb1c984,Yes,Yes,Yes,Cable,Yes,No,Yes,No,No,Yes,Yes,Yes
292,45154ca7f3711a76dd631f0a46f44ee3e648106327c71a38d93d77b3226e5d85,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,No
293,774db6decdac00b3f0a824b4144bf70f9b399344da89f7ba4efaa8621008f714,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,Yes,No
294,0a223d0746eb13de2cd9d17cdc0122906fd927df1b8d655d9903bf07856b1cc6,No,,Yes,DSL,No,No,Yes,No,No,No,No,Yes
295,b4dc88778c4a12d1eaaf329e9f03d59a14b0caf82dd6f08bcd58162354e32d1a,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes
296,54f8040cf92b85145c5d4d1fce2b79596e0fd94f6a89f854f48560c009f13cc3,Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,No,Yes
297,4bbeed77b331f5fcc987347cc6724c16e102b7201d9645351cd2fc704e131a88,Yes,No,Yes,Cable,No,No,Yes,Yes,No,No,No,No
298,f679f3a75eddf0a906e00e5c9186402855b9d6396a9b40522c28553c5933c21b,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No
299,b437db5b5ccc03b210825f1441415cd586136821d17fffd05a3d72d927654807,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,No
300,c246fca0cef7d1fc24a2a823e9666f650c96f9301a389035fa1cc844248a01ec,No,,Yes,Cable,No,Yes,No,No,No,No,No,Yes
301,270c0aebce3e9ce9d020dac3543f9bebb0f357f407b43816ca6eac1b305e244e,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,No
302,272dc7eef4f540b0241b5e5029305f4138bd630fbb7c3f15e5b79d8c2168fbe7,No,,Yes,DSL,No,Yes,No,Yes,No,No,No,Yes
303,1ed7503a7611ccfd8377956846a26b9a39fb50f1291040a2b0413c648f27c582,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes
304,e23f284718fef1009d23cd0d78b38ec01bf5af8f4b3b9f436ab2fb89dc410a01,Yes,No,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Yes
305,7d229204d48e3e2c09f1c66d8ecfda335aabe39bd5fd55f6eb449078e172b0c5,Yes,No,Yes,Cable,Yes,Yes,Yes,No,Yes,No,No,Yes
306,17e71e5018549a6fc11324801f5734bbd8c9808d75b3fae4e611c873e2c6bcb5,No,,Yes,DSL,No,Yes,No,No,No,No,No,Yes
307,eafb4c5784cc9f8251a673aaed52aa993d5fb47ff6425f3ee9f27de3f3ee99b9,No,,Yes,Cable,No,No,No,Yes,Yes,No,No,Yes
308,e44803d4fee9312e8d1d43218d45143e11d7d9b681fd355f868ca9916415f5f6,No,,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,Yes
309,c8fe88c93c617fa08a87a90496584568773f2077320ceb3fcf5dbaa88a41159e,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,Yes,No
310,f4d4c923887f9c302f09be2b35b7e83e0a1612dd381b28f2328240daf050738c,Yes,No,Yes,DSL,No,Yes,Yes,Yes,No,No,No,Yes
311,213bbb3f9fb1d0c9efff25d8c6a5432545a20790310ba63ae71f3c3a171c019e,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,No,Yes
312,37bc72b9f487ac405432358d320b102a8ae922861307e90ea4e99802ea435660,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Yes
313,3616832a657e8f5709b0100e9b8ee8223344826bda5c8ef11013ecfa0aab8fb8,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,No,No
314,1f393f55605c25cb0d215615f6ec9140fbc8120636cbcd69bbbd595726547cf6,Yes,No,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes
315,4272c3bf1db5a2c3eb2c54f2d56b4991956e1111520abf162d1e7205d222a0dd,No,,Yes,DSL,No,No,No,No,No,No,Yes,Yes
316,d2cb79118af5ab2c970d6c310ba75d80c291935b2b2df56c02d840420eb2cc28,Yes,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
317,7b8b4edb751017213f391c2da5f15cc91efb9388e51fa1a01ebed91096f20fb4,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,Yes
318,d6b4f37d567d17520270b26afe34420e3e7ab742a0e50883c8ac6ac82174fbd5,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
319,129eddb9eb7d28073e7aac925e7bd540e42829020fbc597d42d1a3fbbf7cda46,Yes,No,Yes,DSL,No,Yes,No,Yes,No,No,No,Yes
320,ef1db97613523def6aedb52e3ae645d097952b6be134c92f273021e6db38d3b4,No,,Yes,DSL,No,Yes,Yes,No,No,No,No,Yes
321,b139412ece8360b3918589777d0a39a9678eef8df24d67e422f8694ba9652293,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,No,Yes
322,d1d1bfcfb9d89c77a7e08efaa06a5f2b6e0f815928f288b172bd30067f4b2606,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,No,Yes
323,279a8eb05065c5cf9f223892d0dcc25c6b363f0ed35b961c7d29c1d735581ec4,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes
324,2ad2bfb1dc2adca7db74fc034de1280dd050e820ffdd2e4818d34aa1945bb1e1,Yes,No,Yes,Cable,No,Yes,No,Yes,No,No,No,Yes
325,588ce091145eb7d0b93b43569832959cc5e97082210dd2e2bb92840f23e552d3,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,No
